dh_co_111	dh_o_111	dh_co_100	dh_o_100	dh_co_110	dh_o_110	dh_co_211	dh_o_211
-9.0	-0.45	-8.54	-9.71	-2.09	-5.92	4.2	-6.35
-4.0	4.55	-3.54	5.29	-7.09	9.08	9.2	8.65
6.0	-5.45	6.46	-4.71	2.91	-0.92	-0.8	-1.35
7.25	5.8	-2.29	-8.46	1.66	-2.17	-9.55	9.9
-2.75	-4.2	7.71	1.54	-8.34	7.83	0.45	-0.1
-7.75	0.8	2.71	-3.46	-3.34	-7.17	5.45	4.9
2.25	-9.2	-7.29	6.54	6.66	2.83	-4.55	-5.1
4.75	3.3	5.21	-5.96	-0.84	0.33	-7.05	-2.6
-5.25	-6.7	-4.79	4.04	9.16	-9.67	2.95	7.4
-0.25	8.3	-9.79	-0.96	4.16	5.33	7.95	-7.6
9.75	-1.7	0.21	9.04	-5.84	-4.67	-2.05	2.4
9.82	1.66	6.07	-2.44	4.39	-7.71	5.68	4.2
-0.18	-8.34	-3.93	7.56	-5.61	2.29	-4.32	-5.8
-5.18	6.66	-8.93	-7.44	-0.61	-2.71	-9.32	9.2
4.82	-3.34	1.07	2.56	9.39	7.29	0.68	-0.8
2.32	9.16	-1.43	-4.94	-3.11	9.79	8.18	-8.3
-7.68	-0.84	8.57	5.06	6.89	-0.21	-1.82	1.7
-2.68	4.16	3.57	-9.94	1.89	4.79	-6.82	-3.3
7.32	-5.84	-6.43	0.06	-8.11	-5.21	3.18	6.7
6.07	5.41	2.32	6.31	-6.86	-6.46	6.93	-4.55
-3.93	-4.59	-7.68	-3.69	3.14	3.54	-3.07	5.45
-8.93	0.41	-2.68	1.31	8.14	-1.46	-8.07	-9.55
1.07	-9.59	7.32	-8.69	-1.86	8.54	1.93	0.45
3.57	2.91	-5.18	8.81	5.64	6.04	9.43	7.95
-6.43	-7.09	4.82	-1.19	-4.36	-3.96	-0.57	-2.05
-1.43	7.91	9.82	3.81	-9.36	1.04	-5.57	2.95
8.57	-2.09	-0.18	-6.19	0.64	-8.96	4.43	-7.05
7.95	8.54	-8.3	-9.32	8.77	-4.59	-4.94	-1.43
-2.05	-1.46	1.7	0.68	-1.23	5.41	5.06	8.57
-7.05	3.54	6.7	-4.32	-6.23	-9.59	0.06	-6.43
2.95	-6.46	-3.3	5.68	3.77	0.41	-9.94	3.57
0.45	1.04	4.2	-6.82	-8.73	2.91	-2.44	6.07
-9.55	-8.96	-5.8	3.18	1.27	-7.09	7.56	-3.93
-4.55	6.04	-0.8	-1.82	6.27	7.91	2.56	1.07
5.45	-3.96	9.2	8.18	-3.73	-2.09	-7.44	-8.93
6.7	4.79	-4.55	4.43	-2.48	-0.84	-3.69	2.32
-3.3	-5.21	5.45	-5.57	7.52	9.16	6.31	-7.68
-8.3	9.79	0.45	9.43	2.52	-5.84	1.31	7.32
1.7	-0.21	-9.55	-0.57	-7.48	4.16	-8.69	-2.68
4.2	7.29	7.95	1.93	0.02	1.66	-1.19	-5.18
-5.8	-2.71	-2.05	-8.07	-9.98	-8.34	8.81	4.82
-0.8	2.29	-7.05	6.93	-4.98	6.66	3.81	-0.18
9.2	-7.71	2.95	-3.07	5.02	-3.34	-6.19	9.82
8.89	6.35	-3.61	9.12	-9.04	4.47	1.0	-7.99
-1.11	-3.65	6.39	-0.88	0.96	-5.53	-9.0	2.01
-6.11	1.35	1.39	4.12	5.96	9.47	-4.0	-2.99
3.89	-8.65	-8.61	-5.88	-4.04	-0.53	6.0	7.01
1.39	3.85	8.89	6.62	8.46	-3.03	3.5	4.51
-8.61	-6.15	-1.11	-3.38	-1.54	6.97	-6.5	-5.49
-3.61	8.85	-6.11	1.62	-6.54	-8.03	-1.5	9.51
6.39	-1.15	3.89	-8.38	3.46	1.97	8.5	-0.49
5.14	0.1	-9.86	-4.63	2.21	0.72	2.25	8.26
-4.86	-9.9	0.14	5.37	-7.79	-9.28	-7.75	-1.74
-9.86	5.1	5.14	-9.63	-2.79	5.72	-2.75	3.26
0.14	-4.9	-4.86	0.37	7.21	-4.28	7.25	-6.74
2.64	7.6	2.64	-2.13	-0.29	-1.78	4.75	-4.24
-7.36	-2.4	-7.36	7.87	9.71	8.22	-5.25	5.76
-2.36	2.6	-2.36	-7.13	4.71	-6.78	-0.25	-9.24
7.64	-7.4	7.64	2.87	-5.29	3.22	9.75	0.76
8.26	3.22	0.76	2.25	-4.67	7.6	-9.63	5.14
-1.74	-6.78	-9.24	-7.75	5.33	-2.4	0.37	-4.86
-6.74	8.22	-4.24	7.25	0.33	2.6	5.37	0.14
3.26	-1.78	5.76	-2.75	-9.67	-7.4	-4.63	-9.86
0.76	5.72	-6.74	4.75	2.83	-9.9	-7.13	-2.36
-9.24	-4.28	3.26	-5.25	-7.17	0.1	2.87	7.64
-4.24	0.72	8.26	9.75	-2.17	-4.9	7.87	-7.36
5.76	-9.28	-1.74	-0.25	7.83	5.1	-2.13	2.64
7.01	9.47	7.01	-6.5	6.58	6.35	-8.38	-6.11
-2.99	-0.53	-2.99	3.5	-3.42	-3.65	1.62	3.89
-7.99	4.47	-7.99	-1.5	-8.42	1.35	6.62	-1.11
2.01	-5.53	2.01	8.5	1.58	-8.65	-3.38	8.89
4.51	1.97	-0.49	-9.0	-5.92	-6.15	-5.88	1.39
-5.49	-8.03	9.51	1.0	4.08	3.85	4.12	-8.61
-0.49	6.97	4.51	-4.0	9.08	-1.15	9.12	6.39
9.51	-3.03	-5.49	6.0	-0.92	8.85	-0.88	-3.61
9.67	9.0	4.98	3.65	1.11	5.25	3.65	-9.39
-0.33	-1.0	-5.02	-6.35	-8.89	-4.75	-6.35	0.61
-5.33	4.0	-0.02	8.65	-3.89	0.25	-1.35	-4.39
4.67	-6.0	9.98	-1.35	6.11	-9.75	8.65	5.61
2.17	1.5	-7.52	1.15	-1.39	-7.25	1.15	3.11
-7.83	-8.5	2.48	-8.85	8.61	2.75	-8.85	-6.89
-2.83	6.5	7.48	6.15	3.61	-2.25	-3.85	8.11
7.17	-3.5	-2.52	-3.85	-6.39	7.75	6.15	-1.89
5.92	2.75	8.73	-7.6	-7.64	9.0	4.9	9.36
-4.08	-7.25	-1.27	2.4	2.36	-1.0	-5.1	-0.64
-9.08	7.75	-6.27	-2.6	7.36	4.0	-0.1	4.36
0.92	-2.25	3.73	7.4	-2.64	-6.0	9.9	-5.64
3.42	5.25	-3.77	-5.1	9.86	-8.5	2.4	-3.14
-6.58	-4.75	6.23	4.9	-0.14	1.5	-7.6	6.86
-1.58	0.25	1.23	-0.1	-5.14	-3.5	-2.6	-8.14
8.42	-9.75	-8.77	9.9	4.86	6.5	7.4	1.86
7.79	0.88	-1.89	5.53	5.49	2.13	-6.97	7.48
-2.21	-9.12	8.11	-4.47	-4.51	-7.87	3.03	-2.52
-7.21	5.88	3.11	0.53	-9.51	7.13	8.03	2.48
2.79	-4.12	-6.89	-9.47	0.49	-2.87	-1.97	-7.52
0.29	8.38	5.61	8.03	-7.01	-0.37	-9.47	-0.02
-9.71	-1.62	-4.39	-1.97	2.99	9.63	0.53	9.98
-4.71	3.38	-9.39	3.03	7.99	-5.37	5.53	-5.02
5.29	-6.62	0.61	-6.97	-2.01	4.63	-4.47	4.98
6.54	7.13	-5.64	-0.72	-3.26	3.38	-5.72	-6.27
-3.46	-2.87	4.36	9.28	6.74	-6.62	4.28	3.73
-8.46	2.13	9.36	-5.72	1.74	8.38	9.28	-1.27
1.54	-7.87	-0.64	4.28	-8.26	-1.62	-0.72	8.73
4.04	4.63	1.86	-3.22	4.24	-4.12	-8.22	1.23
-5.96	-5.37	-8.14	6.78	-5.76	5.88	1.78	-8.77
-0.96	9.63	-3.14	-8.22	-0.76	-9.12	6.78	6.23
9.04	-0.37	6.86	1.78	9.24	0.88	-3.22	-3.77
9.36	4.32	-7.21	-5.41	-5.45	-1.93	8.34	3.42
-0.64	-5.68	2.79	4.59	4.55	8.07	-1.66	-6.58
-5.64	9.32	7.79	-0.41	9.55	-6.93	-6.66	8.42
4.36	-0.68	-2.21	9.59	-0.45	3.07	3.34	-1.58
1.86	6.82	0.29	-7.91	7.05	0.57	5.84	-9.08
-8.14	-3.18	-9.71	2.09	-2.95	-9.43	-4.16	0.92
-3.14	1.82	-4.71	-2.91	-7.95	5.57	-9.16	-4.08
6.86	-8.18	5.29	7.09	2.05	-4.43	0.84	5.92
5.61	8.07	-0.96	0.84	3.3	-3.18	9.59	-2.83
-4.39	-1.93	9.04	-9.16	-6.7	6.82	-0.41	7.17
-9.39	3.07	4.04	5.84	-1.7	-8.18	-5.41	-7.83
0.61	-6.93	-5.96	-4.16	8.3	1.82	4.59	2.17
3.11	0.57	6.54	3.34	-4.2	4.32	7.09	9.67
-6.89	-9.43	-3.46	-6.66	5.8	-5.68	-2.91	-0.33
-1.89	5.57	-8.46	8.34	0.8	9.32	-7.91	4.67
8.11	-4.43	1.54	-1.66	-9.2	-0.68	2.09	-5.33
8.73	6.19	9.67	-3.54	-1.07	-5.06	-2.29	-0.96
-1.27	-3.81	-0.33	6.46	8.93	4.94	7.71	9.04
-6.27	1.19	-5.33	-8.54	3.93	-0.06	2.71	-5.96
3.73	-8.81	4.67	1.46	-6.07	9.94	-7.29	4.04
1.23	3.69	-2.83	-1.04	1.43	7.44	-4.79	6.54
-8.77	-6.31	7.17	8.96	-8.57	-2.56	5.21	-3.46
-3.77	8.69	2.17	-6.04	-3.57	2.44	0.21	1.54
6.23	-1.31	-7.83	3.96	6.43	-7.56	-9.79	-8.46
7.48	2.44	3.42	7.71	7.68	-8.81	-1.04	0.29
-2.52	-7.56	-6.58	-2.29	-2.32	1.19	8.96	-9.71
-7.52	7.44	-1.58	2.71	-7.32	-3.81	3.96	5.29
2.48	-2.56	8.42	-7.29	2.68	6.19	-6.04	-4.71
4.98	9.94	-9.08	5.21	-9.82	8.69	-3.54	-7.21
-5.02	-0.06	0.92	-4.79	0.18	-1.31	6.46	2.79
-0.02	4.94	5.92	0.21	5.18	3.69	1.46	-2.21
9.98	-5.06	-4.08	-9.79	-4.82	-6.31	-8.54	7.79
9.97	2.47	-6.46	-3.1	-2.24	-4.44	-6.85	-6.59
-0.03	-7.53	3.54	6.9	7.76	5.56	3.15	3.41
-5.03	7.47	8.54	-8.1	2.76	-9.44	8.15	-1.59
4.97	-2.53	-1.46	1.9	-7.24	0.56	-1.85	8.41
2.47	9.97	1.04	-0.6	0.26	3.06	-9.35	0.91
-7.53	-0.03	-8.96	9.4	-9.74	-6.94	0.65	-9.09
-2.53	4.97	-3.96	-5.6	-4.74	8.06	5.65	5.91
7.47	-5.03	6.04	4.4	5.26	-1.94	-4.35	-4.09
6.22	6.22	-0.21	8.15	9.01	-0.69	-5.6	7.16
-3.78	-3.78	9.79	-1.85	-0.99	9.31	4.4	-2.84
-8.78	1.22	4.79	3.15	-5.99	-5.69	9.4	2.16
1.22	-8.78	-5.21	-6.85	4.01	4.31	-0.6	-7.84
3.72	3.72	7.29	5.65	-8.49	1.81	-8.1	-0.34
-6.28	-6.28	-2.71	-4.35	1.51	-8.19	1.9	9.66
-1.28	8.72	-7.71	0.65	6.51	6.81	6.9	-5.34
8.72	-1.28	2.29	-9.35	-3.49	-3.19	-3.1	4.66
8.1	8.1	9.17	-6.22	-6.61	-7.57	2.53	9.03
-1.9	-1.9	-0.83	3.78	3.39	2.43	-7.47	-0.97
-6.9	3.1	-5.83	-1.22	8.39	-2.57	-2.47	4.03
3.1	-6.9	4.17	8.78	-1.61	7.43	7.53	-5.97
0.6	0.6	-3.33	-8.72	5.89	9.93	0.03	-3.47
-9.4	-9.4	6.67	1.28	-4.11	-0.07	-9.97	6.53
-4.4	5.6	1.67	-3.72	-9.11	4.93	-4.97	-8.47
5.6	-4.4	-8.33	6.28	0.89	-5.07	5.03	1.53
6.85	4.35	2.92	0.03	4.64	-6.32	3.78	-9.72
-3.15	-5.65	-7.08	-9.97	-5.36	3.68	-6.22	0.28
-8.15	9.35	-2.08	5.03	-0.36	-1.32	-1.22	-4.72
1.85	-0.65	7.92	-4.97	9.64	8.68	8.78	5.28
4.35	6.85	-9.58	2.53	-2.86	6.18	1.28	2.78
-5.65	-3.15	0.42	-7.47	7.14	-3.82	-8.72	-7.22
-0.65	1.85	5.42	7.53	2.14	1.18	-3.72	7.78
9.35	-8.15	-4.58	-2.47	-7.86	-8.82	6.28	-2.22
9.03	7.16	3.86	5.97	6.83	7.74	-1.53	0.6
-0.97	-2.84	-6.14	-4.03	-3.17	-2.26	8.47	-9.4
-5.97	2.16	-1.14	0.97	-8.17	2.74	3.47	5.6
4.03	-7.84	8.86	-9.03	1.83	-7.26	-6.53	-4.4
1.53	4.66	-8.64	8.47	-5.67	-9.76	-4.03	-6.9
-8.47	-5.34	1.36	-1.53	4.33	0.24	5.97	3.1
-3.47	9.66	6.36	3.47	9.33	-4.76	0.97	-1.9
6.53	-0.34	-3.64	-6.53	-0.67	5.24	-9.03	8.1
5.28	0.91	7.61	-0.28	-4.42	6.49	-0.28	-0.65
-4.72	-9.09	-2.39	9.72	5.58	-3.51	9.72	9.35
-9.72	5.91	-7.39	-5.28	0.58	1.49	4.72	-5.65
0.28	-4.09	2.61	4.72	-9.42	-8.51	-5.28	4.35
2.78	8.41	-4.89	-2.78	3.08	-6.01	-2.78	6.85
-7.22	-1.59	5.11	7.22	-6.92	3.99	7.22	-3.15
-2.22	3.41	0.11	-7.78	-1.92	-1.01	2.22	1.85
7.78	-6.59	-9.89	2.22	8.08	8.99	-7.78	-8.15
8.41	2.78	-1.77	2.84	2.45	4.62	7.84	-2.53
-1.59	-7.22	8.23	-7.16	-7.55	-5.38	-2.16	7.47
-6.59	7.78	3.23	7.84	-2.55	9.62	-7.16	-7.53
3.41	-2.22	-6.77	-2.16	7.45	-0.38	2.84	2.47
0.91	5.28	5.73	0.34	-0.05	-2.88	5.34	9.97
-9.09	-4.72	-4.27	-9.66	9.95	7.12	-4.66	-0.03
-4.09	0.28	-9.27	5.34	4.95	-7.88	-9.66	4.97
5.91	-9.72	0.73	-4.66	-5.05	2.12	0.34	-5.03
7.16	9.03	-5.52	-8.41	-8.8	0.87	9.09	3.72
-2.84	-0.97	4.48	1.59	1.2	-9.13	-0.91	-6.28
-7.84	4.03	9.48	-3.41	6.2	5.87	-5.91	8.72
2.16	-5.97	-0.52	6.59	-3.8	-4.13	4.09	-1.28
4.66	1.53	1.98	-5.91	8.7	-1.63	6.59	-8.78
-5.34	-8.47	-8.02	4.09	-1.3	8.37	-3.41	1.22
-0.34	6.53	-3.02	-0.91	-6.3	-6.63	-8.41	-3.78
9.66	-3.47	6.98	9.09	3.7	3.37	1.59	6.22
9.5	9.5	-2.55	1.75	-3.33	1.96	-3.88	2.0
-0.5	-0.5	7.45	-8.25	6.67	-8.04	6.12	-8.0
-5.5	4.5	2.45	6.75	1.67	6.96	1.12	7.0
4.5	-5.5	-7.55	-3.25	-8.33	-3.04	-8.88	-3.0
2.0	2.0	9.95	4.25	4.17	-0.54	-1.38	-5.5
-8.0	-8.0	-0.05	-5.75	-5.83	9.46	8.62	4.5
-3.0	7.0	-5.05	9.25	-0.83	-5.54	3.62	-0.5
7.0	-3.0	4.95	-0.75	9.17	4.46	-6.38	9.5
5.75	3.25	-8.8	-7.0	5.42	3.21	-2.63	-1.75
-4.25	-6.75	1.2	3.0	-4.58	-6.79	7.37	8.25
-9.25	8.25	6.2	-2.0	-9.58	8.21	2.37	-6.75
0.75	-1.75	-3.8	8.0	0.42	-1.79	-7.63	3.25
3.25	5.75	3.7	-9.5	-7.08	-4.29	-0.13	5.75
-6.75	-4.25	-6.3	0.5	2.92	5.71	9.87	-4.25
-1.75	0.75	-1.3	-4.5	7.92	-9.29	4.87	0.75
8.25	-9.25	8.7	5.5	-2.08	0.71	-5.13	-9.25
7.63	0.13	0.58	9.87	-7.71	5.09	5.5	-4.87
-2.37	-9.87	-9.42	-0.13	2.29	-4.91	-4.5	5.13
-7.37	5.13	-4.42	4.87	7.29	0.09	-9.5	-9.87
2.63	-4.87	5.58	-5.13	-2.71	-9.91	0.5	0.13
0.13	7.63	-6.92	7.37	9.79	-7.41	8.0	7.63
-9.87	-2.37	3.08	-2.63	-0.21	2.59	-2.0	-2.37
-4.87	2.63	8.08	2.37	-5.21	-2.41	-7.0	2.63
5.13	-7.37	-1.92	-7.63	4.79	7.59	3.0	-7.37
6.38	6.38	6.83	-3.88	1.04	8.84	6.75	3.88
-3.62	-3.62	-3.17	6.12	-8.96	-1.16	-3.25	-6.12
-8.62	1.38	-8.17	-8.88	-3.96	3.84	-8.25	8.88
1.38	-8.62	1.83	1.12	6.04	-6.16	1.75	-1.12
3.88	3.88	-0.67	-1.38	-1.46	-8.66	9.25	-8.62
-6.12	-6.12	9.33	8.62	8.54	1.34	-0.75	1.38
-1.12	8.88	4.33	-6.38	3.54	-3.66	-5.75	-3.62
8.88	-1.12	-5.67	3.62	-6.46	6.34	4.25	6.38
9.19	4.81	5.26	-9.81	7.61	-5.22	-9.19	-5.81
-0.81	-5.19	-4.74	0.19	-2.39	4.78	0.81	4.19
-5.81	9.81	-9.74	-4.81	-7.39	-0.22	5.81	-0.81
4.19	-0.19	0.26	5.19	2.61	9.78	-4.19	9.19
1.69	7.31	-2.24	-7.31	-9.89	7.28	-6.69	1.69
-8.31	-2.69	7.76	2.69	0.11	-2.72	3.31	-8.31
-3.31	2.31	2.76	-2.31	5.11	2.28	8.31	6.69
6.69	-7.69	-7.24	7.69	-4.89	-7.72	-1.69	-3.31
5.44	8.56	1.51	3.94	-1.14	-8.97	-7.94	5.44
-4.56	-1.44	-8.49	-6.06	8.86	1.03	2.06	-4.56
-9.56	3.56	-3.49	8.94	3.86	-3.97	7.06	0.44
0.44	-6.44	6.51	-1.06	-6.14	6.03	-2.94	-9.56
2.94	1.06	-5.99	1.44	1.36	8.53	-5.44	-2.06
-7.06	-8.94	4.01	-8.56	-8.64	-1.47	4.56	7.94
-2.06	6.06	9.01	6.44	-3.64	3.53	9.56	-7.06
7.94	-3.94	-0.99	-3.56	6.36	-6.47	-0.44	2.94
8.56	5.44	-7.86	-1.69	3.23	-2.1	0.19	8.56
-1.44	-4.56	2.14	8.31	-6.77	7.9	-9.81	-1.44
-6.44	0.44	7.14	-6.69	-1.77	-7.1	-4.81	3.56
3.56	-9.56	-2.86	3.31	8.23	2.9	5.19	-6.44
1.06	2.94	4.64	-4.19	-4.27	0.4	2.69	-3.94
-8.94	-7.06	-5.36	5.81	5.73	-9.6	-7.31	6.06
-3.94	7.94	-0.36	-9.19	0.73	5.4	-2.31	-8.94
6.06	-2.06	9.64	0.81	-9.27	-4.6	7.69	1.06
7.31	1.69	-4.11	7.06	-5.52	-3.35	1.44	-7.69
-2.69	-8.31	5.89	-2.94	4.48	6.65	-8.56	2.31
-7.69	6.69	0.89	2.06	9.48	-8.35	-3.56	-2.69
2.31	-3.31	-9.11	-7.94	-0.52	1.65	6.44	7.31
4.81	9.19	8.39	9.56	6.98	4.15	3.94	4.81
-5.19	-0.81	-1.61	-0.44	-3.02	-5.85	-6.06	-5.19
-0.19	4.19	-6.61	4.56	-8.02	9.15	-1.06	9.81
9.81	-5.81	3.39	-5.44	1.98	-0.85	8.94	-0.19
9.74	5.83	7.84	3.23	-8.41	-6.55	-2.55	-3.23
-0.26	-4.17	-2.16	-6.77	1.59	3.45	7.45	6.77
-5.26	0.83	-7.16	8.23	6.59	-1.55	2.45	-8.23
4.74	-9.17	2.84	-1.77	-3.41	8.45	-7.55	1.77
2.24	3.33	-4.66	0.73	9.09	5.95	-0.05	9.27
-7.76	-6.67	5.34	-9.27	-0.91	-4.05	9.95	-0.73
-2.76	8.33	0.34	5.73	-5.91	0.95	4.95	4.27
7.24	-1.67	-9.66	-4.27	4.09	-9.05	-5.05	-5.73
5.99	2.08	4.09	-8.02	0.34	-7.8	-3.8	3.02
-4.01	-7.92	-5.91	1.98	-9.66	2.2	6.2	-6.98
-9.01	7.08	-0.91	-3.02	-4.66	-2.8	1.2	8.02
0.99	-2.92	9.09	6.98	5.34	7.2	-8.8	-1.98
3.49	9.58	-8.41	-5.52	-2.16	9.7	-1.3	-9.48
-6.51	-0.42	1.59	4.48	7.84	-0.3	8.7	0.52
-1.51	4.58	6.59	-0.52	2.84	4.7	3.7	-4.48
8.49	-5.42	-3.41	9.48	-7.16	-5.3	-6.3	5.52
7.86	3.96	-5.28	5.11	-2.78	-0.93	6.83	1.14
-2.14	-6.04	4.72	-4.89	7.22	9.07	-3.17	-8.86
-7.14	8.96	9.72	0.11	2.22	-5.93	-8.17	6.14
2.86	-1.04	-0.28	-9.89	-7.78	4.07	1.83	-3.86
0.36	6.46	2.22	7.61	4.72	1.57	9.33	-6.36
-9.64	-3.54	-7.78	-2.39	-5.28	-8.43	-0.67	3.64
-4.64	1.46	-2.78	2.61	-0.28	6.57	-5.67	-1.36
5.36	-8.54	7.22	-7.39	9.72	-3.43	4.33	8.64
6.61	7.71	-1.53	-1.14	5.97	-4.68	5.58	-0.11
-3.39	-2.29	8.47	8.86	-4.03	5.32	-4.42	9.89
-8.39	2.71	3.47	-6.14	-9.03	-9.68	-9.42	-5.11
1.61	-7.29	-6.53	3.86	0.97	0.32	0.58	4.89
4.11	0.21	5.97	-3.64	-6.53	2.82	8.08	7.39
-5.89	-9.79	-4.03	6.36	3.47	-7.18	-1.92	-2.61
-0.89	5.21	-9.03	-8.64	8.47	7.82	-6.92	2.39
9.11	-4.79	0.97	1.36	-1.53	-2.18	3.08	-7.61
8.8	1.14	-0.6	-5.21	2.53	0.63	-7.86	9.58
-1.2	-8.86	9.4	4.79	-7.47	-9.37	2.14	-0.42
-6.2	6.14	4.4	-0.21	-2.47	5.63	7.14	4.58
3.8	-3.86	-5.6	9.79	7.53	-4.37	-2.86	-5.42
1.3	8.64	6.9	-7.71	-4.97	-1.87	-5.36	-2.92
-8.7	-1.36	-3.1	2.29	5.03	8.13	4.64	7.08
-3.7	3.64	-8.1	-2.71	0.03	-6.87	9.64	-7.92
6.3	-6.36	1.9	7.29	-9.97	3.13	-0.36	2.08
5.05	7.39	-6.85	1.04	-6.22	4.38	-9.11	-9.17
-4.95	-2.61	3.15	-8.96	3.78	-5.62	0.89	0.83
-9.95	2.39	8.15	6.04	8.78	9.38	5.89	-4.17
0.05	-7.61	-1.85	-3.96	-1.22	-0.62	-4.11	5.83
2.55	4.89	0.65	3.54	6.28	-3.12	-6.61	3.33
-7.45	-5.11	-9.35	-6.46	-3.72	6.88	3.39	-6.67
-2.45	9.89	-4.35	8.54	-8.72	-8.12	8.39	8.33
7.55	-0.11	5.65	-1.46	1.28	1.88	-1.61	-1.67
8.17	9.27	2.53	-3.33	8.15	6.26	1.51	-7.29
-1.83	-0.73	-7.47	6.67	-1.85	-3.74	-8.49	2.71
-6.83	4.27	-2.47	-8.33	-6.85	1.26	-3.49	-2.29
3.17	-5.73	7.53	1.67	3.15	-8.74	6.51	7.71
0.67	1.77	-9.97	-0.83	-9.35	-6.24	4.01	0.21
-9.33	-8.23	0.03	9.17	0.65	3.76	-5.99	-9.79
-4.33	6.77	5.03	-5.83	5.65	-1.24	-0.99	5.21
5.67	-3.23	-4.97	4.17	-4.35	8.76	9.01	-4.79
6.92	3.02	8.78	7.92	-0.6	7.51	0.26	6.46
-3.08	-6.98	-1.22	-2.08	9.4	-2.49	-9.74	-3.54
-8.08	8.02	-6.22	2.92	4.4	2.51	-4.74	1.46
1.92	-1.98	3.78	-7.08	-5.6	-7.49	5.26	-8.54
4.42	5.52	-3.72	5.42	1.9	-9.99	2.76	-1.04
-5.58	-4.48	6.28	-4.58	-8.1	0.01	-7.24	8.96
-0.58	0.52	1.28	0.42	-3.1	-4.99	-2.24	-6.04
9.42	-9.48	-8.72	-9.58	6.9	5.01	7.76	3.96
9.58	3.49	1.75	-1.92	-7.31	8.92	-5.52	7.86
-0.42	-6.51	-8.25	8.08	2.69	-1.08	4.48	-2.14
-5.42	8.49	-3.25	-6.92	7.69	3.92	9.48	2.86
4.58	-1.51	6.75	3.08	-2.31	-6.08	-0.52	-7.14
2.08	5.99	-5.75	-4.42	5.19	-8.58	-8.02	-4.64
-7.92	-4.01	4.25	5.58	-4.81	1.42	1.98	5.36
-2.92	0.99	9.25	-9.42	-9.81	-3.58	6.98	-9.64
7.08	-9.01	-0.75	0.58	0.19	6.42	-3.02	0.36
5.83	9.74	5.5	6.83	3.94	5.17	-6.77	-8.39
-4.17	-0.26	-4.5	-3.17	-6.06	-4.83	3.23	1.61
-9.17	4.74	-9.5	1.83	-1.06	0.17	8.23	-3.39
0.83	-5.26	0.5	-8.17	8.94	-9.83	-1.77	6.61
3.33	2.24	-2.0	9.33	-3.56	-7.33	-9.27	4.11
-6.67	-7.76	8.0	-0.67	6.44	2.67	0.73	-5.89
-1.67	7.24	3.0	4.33	1.44	-2.33	5.73	9.11
8.33	-2.76	-7.0	-5.67	-8.56	7.67	-4.27	-0.89
7.71	6.61	-3.88	-8.8	-1.69	3.29	3.86	-5.26
-2.29	-3.39	6.12	1.2	8.31	-6.71	-6.14	4.74
-7.29	1.61	1.12	-3.8	3.31	8.29	-1.14	-0.26
2.71	-8.39	-8.88	6.2	-6.69	-1.71	8.86	9.74
0.21	4.11	8.62	-6.3	0.81	-4.21	1.36	2.24
-9.79	-5.89	-1.38	3.7	-9.19	5.79	-8.64	-7.76
-4.79	9.11	-6.38	-1.3	-4.19	-9.21	-3.64	7.24
5.21	-0.89	3.62	8.7	5.81	0.79	6.36	-2.76
6.46	0.36	-7.63	4.95	9.56	2.04	2.61	5.99
-3.54	-9.64	2.37	-5.05	-0.44	-7.96	-7.39	-4.01
-8.54	5.36	7.37	9.95	-5.44	7.04	-2.39	0.99
1.46	-4.64	-2.63	-0.05	4.56	-2.96	7.61	-9.01
3.96	7.86	4.87	2.45	-7.94	-0.46	0.11	-1.51
-6.04	-2.14	-5.13	-7.55	2.06	9.54	-9.89	8.49
-1.04	2.86	-0.13	7.45	7.06	-5.46	-4.89	-6.51
8.96	-7.14	9.87	-2.55	-2.94	4.54	5.11	3.49
9.27	8.17	-9.19	9.01	1.75	-3.27	-0.21	-4.33
-0.73	-1.83	0.81	-0.99	-8.25	6.73	9.79	5.67
-5.73	3.17	5.81	4.01	-3.25	-8.27	4.79	-9.33
4.27	-6.83	-4.19	-5.99	6.75	1.73	-5.21	0.67
1.77	0.67	3.31	6.51	-0.75	4.23	-2.71	8.17
-8.23	-9.33	-6.69	-3.49	9.25	-5.77	7.29	-1.83
-3.23	5.67	-1.69	1.51	4.25	9.23	2.29	3.17
6.77	-4.33	8.31	-8.49	-5.75	-0.77	-7.71	-6.83
5.52	4.42	-2.94	-4.74	-9.5	-2.02	-1.46	4.42
-4.48	-5.58	7.06	5.26	0.5	7.98	8.54	-5.58
-9.48	9.42	2.06	-9.74	5.5	-7.02	3.54	9.42
0.52	-0.58	-7.94	0.26	-4.5	2.98	-6.46	-0.58
3.02	6.92	9.56	-2.24	8.0	0.48	-3.96	-8.08
-6.98	-3.08	-0.44	7.76	-2.0	-9.52	6.04	1.92
-1.98	1.92	-5.44	-7.24	-7.0	5.48	1.04	-3.08
8.02	-8.08	4.56	2.76	3.0	-4.52	-8.96	6.92
8.64	1.3	6.44	2.14	7.37	-8.9	9.17	1.3
-1.36	-8.7	-3.56	-7.86	-2.63	1.1	-0.83	-8.7
-6.36	6.3	-8.56	7.14	-7.63	-3.9	-5.83	6.3
3.64	-3.7	1.44	-2.86	2.37	6.1	4.17	-3.7
1.14	8.8	-1.06	4.64	-5.13	8.6	6.67	-6.2
-8.86	-1.2	8.94	-5.36	4.87	-1.4	-3.33	3.8
-3.86	3.8	3.94	9.64	9.87	3.6	-8.33	-1.2
6.14	-6.2	-6.06	-0.36	-0.13	-6.4	1.67	8.8
